,img?,品名,品番1,品番2,税別価格1,税別価格2,url1,url2,説明文,カタカナ,品番3,税別価格3,url3,page,
1,,OLIVIA BURTON,OB16MV69 ,OB16CS06 ,"¥13,000","¥16,000",,https://www.neuve-a.net/TiCTAC/shop/g/g5060496416940/,リーザ・ベネットとジェマ・フェニングスの2人が2012年に設立したロンドン発のブランド。フェミニンでヴィンテージ感のあるスタイルが魅力の、シンプルで上品な腕時計です。,オリビアバートン,,,,lady,
2,,KLASSE14,VO18VG001W,,"¥25,000",,https://www.neuve-a.net/TiCTAC/shop/g/g4897068613060/,,"服に合わせやすいシンプルデザイン、立体的なフェイスが独特の存在感を醸しだす人気モデルに、ヴィンテージ・ゴールドとブラウンスエードがシックな新色が登場しました。
",クラスフォーティーン,,,,lady,
3,img,,,,,,,,,,,,,lady,
4,,Cartier,ヴィンテージ、1990年代,,"¥145,000",,http://www.tictac-web.com/news/detail/?nid=474 ,,"ルイ・カルティエが馬車でパリのヴァンドーム広場を通りかかった際に、車輪の取り付け部分を見てその形を閃いたことから名付けられたとされる「ヴァンドーム」。派手過ぎず落ち着いたデザインは、世代を問わず幅広い層に愛され続けています。(非防水) 
※ヴィンテージウォッチは一点ものにつき全く同じ商品は入荷しません。在庫状況は取扱店にお問合せください。(2018年11月現在取扱店: 渋谷ヒカリエ店・恵比寿アトレ店・池袋パルコ店・有楽町ルミネ店・上野パルコヤ店・スピンドル新丸ビル店・横浜ルミネ店・千葉ペリエ店・仙台パルコ店・静岡パルコ店・名古屋高島屋店・神戸ミント店・広島パルコ店・博多アミュプラザ店・鹿児島アミュプラザ店)
",カルティエ,,,,lady,※（こめ印）以下は注釈です。原稿でのフォントサイズが少し小さいです。）
5,,BABY-G,MSG-W200CG-5AJF ,,"¥36,000",,https://www.neuve-a.net/TiCTAC/shop/g/g4549526209529/,,格好良さと女性らしさを兼ね備えたG-MSシリーズ。シックでエレガントな色づかいで、オフィススタイルやフェミニンな服にもマッチ。高い機能性も魅力です。(ソーラー電波、10気圧防水),ベビージー,,,,lady,
6,,LOLA ROSE,LR2024,LR2028,"¥16,000","¥16,000",https://www.neuve-a.net/TiCTAC/shop/g/g4548962864385/,https://www.neuve-a.net/TiCTAC/shop/g/g4548962864408/,ロンドンのアクセサリーブランド、ローラローズ。天然石をモチーフにしたダイヤルデザインとリューズにセットされた天然石のカボションが特徴の、エレガントな腕時計,ローラローズ,,,,lady,
7,,FURLA,R4251102562,R4251103524,"¥26,000","¥20,000",,,1927年ボローニャで創立したイタリアの人気ブランド。美的センスに裏付けられた上品で洗練されたスタイル、シックな中に遊び心を散りばめたデザインが魅力です。(右：TiCTAC別注モデル) ,フルラ,,,,lady,
8,img,,,,,,,,,,,,,lady,
9,,MICHAEL KORS,MK6588,,"¥32,000",,https://www.neuve-a.net/TiCTAC/shop/g/g4549097822875/,,世界中のセレブリティから愛されているマイケル・コースのアイコンモデル。唯一無二の存在感あるデザイン、ラグジュアリーでリッチなスタイルが魅力です。,マイケル・コース,,,,lady,
10,,MARC JACOBS WATCHES,MJ1538,MJ1539,"¥28,000","¥28,000",https://www.neuve-a.net/TiCTAC/shop/g/g4549097605201/,https://www.neuve-a.net/TiCTAC/shop/g/g4549097605218/,モードなスタイルが魅力の人気ブランド。12時から3時のインデックスに配したブランドネームの「MARC」がポイント。シックな色づかいと薄型ケースの優雅佇まいが、コーディネートを格上げしてくれます。,マークジェイコブス ウォッチ,,,,lady,
11,,MARC JACOBS WATCHES,MJT2004,,"¥42,000",,,,色々なダイヤルデザインが楽しめる、タッチスクリーンタイプのスマートウォッチ。アクティビティトラッキングや着信通知など、スマホとリンクして使える便利な機能満載です。,マークジェイコブス ウォッチ,,,,lady,
12,,kate spade new york,KST2003,,"¥42,000",,,,愛らしいスカラップディテールをベゼルにプラスしたクラシックでフェミニンなデザイン。スマホと連動して使える嬉しい機能が満載な、タッチスクリーンタイプのスマートウォッチ。,ケイト･スペード ニューヨーク,,,,lady,
13,img,,,,,,,,,,,,,lady,
14,,agnès b.,FBSD713,FBSD714,"¥29,000","¥29,000",https://www.neuve-a.net/TiCTAC/shop/g/g4976660074858/,https://www.neuve-a.net/TiCTAC/shop/g/g4976660074865/,流行にとらわれないフレンチベーシックスタイルが人気。クラシカルな印象のトノー型ケース、手書き数字とクリスタルインデックスがフェミニンな限定モデル。(ソーラー),アニエスベー,,,,lady,
15,,TED BAKER LONDON,TE50703001,,"¥17,000",,,,時間を見るたび気持ちが上がるフラワーモチーフの腕時計。こっくりと深い色づかいが印象的なダイヤル、ローズゴールドケースが手元を華やかに彩ります。,テッドベーカー　ロンドン,,,,lady,
16,,Kii,EG7044-06A,EG7043-09W,"¥23,000","¥23,000",,,クラシカルな長方形のケースと型押しストラップがアンティークウォッチのよう。華奢で女性らしいスタイルの中にある、凜とした佇まいが魅力です。(ソーラー),キー,Kii,23000,,lady,kii3つ目の時計の品番にブランド名が入っていました。
17,,SPICA,SPI52-GD,,"¥24,000",,https://www.neuve-a.net/TiCTAC/shop/g/g2700001610359/,,シックな色からアクセントカラーまで、自分で簡単に変えられる11色のベゼルが付属。アクセサリー感覚で楽しめるバングルタイプの限定モデル。TiCTACオリジナル。(非防水),スピカ,,,,lady,
18,img,,,,,,,,,,,,,lady,
19,,SPICA,SPI24-BLK/2018,SPI24-RE/2018,"¥25,000","¥25,000",https://www.neuve-a.net/TiCTAC/shop/g/g2700001620457/,https://www.neuve-a.net/TiCTAC/shop/g/g2700001620426/,星のカタチのカットガラスが光を受けてさりげなく輝く、大人かわいいデザイン。乙女座の一等星の名を付けたTiCTACオリジナルウォッチの限定モデルです。 (ソーラー),スピカ,,,,lady,
20,,MARGARET HOWELL idea,KF7-422-31,KF7-465-91,"¥45,000","¥45,000",https://www.neuve-a.net/TiCTAC/shop/g/g4974375477643/,https://www.neuve-a.net/TiCTAC/shop/g/g4974375477650/,飽きのこないシンプルなケースデザインでオフィスでもお使いいただけるモデル。ガラスの中央に埋め込まれた1石のダイヤモンドがアクセントとなり、さりげない女性らしさを演出します。(ソーラー),マーガレット・ハウエル　アイデア,,,,lady,
21,,CITIZEN XC,EC1165-51W,,"¥78,000",,https://www.neuve-a.net/TiCTAC/shop/g/g4974375486638/,,女性の肌色を明るく美しく見せてくれる”サクラピンク”と明るく美しい”エターナルプラチナ”のコンビネーション。軽く傷つきにくい素材で着け心地も抜群です。(ソーラー電波),シチズン クロスシー,,,,lady,
22,,Wicca,KH3-461-90 ,KH3-461-70 ,"¥23,000","¥23,000",,,女性の可愛らしさを詰め込んだ腕時計、ウィッカ。インデックスに幸運を呼ぶラッキークローバーとハートのモチーフを散りばめたTiCTAC限定モデル。(ソーラー),ウィッカ,,,,lady,
23,img,,,,,,,,,,,,,lady,
24,,ROSEFIELD,QEGTR-X222,,"¥17,500",,,,オランダの機能的なデザインとニューヨークの現代的な感性が融合した美しくスタイリッシュな腕時計。TiCTAC限定のスペシャルセットは、メタルリングをあしらったレザーストラップとメッシュベルトが付属、服やシーンに合わせて変化を楽しめます。,ローズフィールド,,,,lady,
25,,BERING,13426-468,,"¥18,000",,https://www.neuve-a.net/TiCTAC/shop/g/g4560204344059/,,クリーンな北欧スタイルと高品質なマテリアルが魅力のベーリング。落ち着いた輝きを放つアイスブルーのダイヤル、レトロな雰囲気のあるドーム型サファイアガラスが高級感あるデザインです。,ベーリング,,,,lady,
26,,LISA LARSON,LL401,,"¥21,000",,https://www.neuve-a.net/TiCTAC/shop/g/g4560204344622/,,ハリネズミ3兄弟を描いたキュートなダイヤル。裏蓋にはスウェーデン語で「Tag dig tid」（あなたに時間をあげましょう）とリサからのメッセージが刻まれています。2色のベルトが付いた限定モデルです。,リサ・ラーソン,,,,lady,
27,img,,,,,,,,,,,,,lady,