,img?,品名,品番1,品番2,税別価格1,税別価格2,url,url,説明文,カタカナ,品番3,税別価格3,url3,page
1,,Movement in Motion & SPICA ,MIM-CRC-RY/NV-LIMI,SPI50-RY/NV-LIMI,"¥30,000","¥30,000",https://www.neuve-a.net/TiCTAC/shop/g/g2700001602835/,https://www.neuve-a.net/TiCTAC/shop/g/g2700001602965/,落ち着いたカラーリングと上質な素材感が大人な手元を演出する、シックで知的なペアモデル。オーセンティックなデザインはフォーマルなシーンにもマッチします。TiCTACオリジナル。(ソーラー電波、メンズ:10気圧防水),ムーブメント・イン・モーション＆スピカ,,,,youme
2,img,,,,,,,,,,,,,youme
3,,Movement in Motion & SPICA ,MIM-CRC-RY/NV-LIMI,SPI50-RY/NV-LIMI,"¥18,000","¥18,000",https://www.neuve-a.net/TiCTAC/shop/g/g2700001610441/,https://www.neuve-a.net/TiCTAC/shop/g/g2700001610458/,月の満ち欠けがわかるムーンフェイズ表示が付いたロマンチックなペアモデル。「今夜の月はどんなカタチ？」二人の会話が弾みそうです。各100点限定。TiCTACオリジナル。,ムーブメント・イン・モーション＆スピカ,,,,youme
4,,Movement in Motion & SPICA ,MIM-DP/SSIV-R,SPI51-DP/PGIV-R,"¥18,000","¥18,000",,,"老若男女に愛され続けるディズニーのミッキーとミニーのカップルがペアウォッチに。12時位置の秒針は、なんと二人の尻尾。秒を刻んでくるくる回ります。裏ブタにも楽しい仕掛けが。TiCTACオリジナル。
©Disney",ムーブメント・イン・モーション＆スピカ,,,,youme
5,,MASTER WORKS,MW08YG1-FDDBO81,MW06YG1-ECDBO81,"¥38,000","¥20,000",,,イタリア・ボローニャ製のハンドメイドレザーなど、世界中の職人達が生み出す優れた素材を採用した注目ブランド。TiCTAC別注モデルには2色のレザーストラップが付属します。（左：機械式自動巻）,マスターワークス,,,,youme
6,img,,,,,,,,,,,,,youme
7,img,,,,,,,,,,,,,youme
8,,DANISH DESIGN,IQ41Q858,IV40Q858,"¥16,000","¥16,000",https://www.neuve-a.net/TiCTAC/shop/g/g4560204343878/,https://www.neuve-a.net/TiCTAC/shop/g/g4560204343885/,日本ではTiCTACが独占販売しているダニッシュデザイン。毎日愛用できる定番のアイテムとして、さりげなくライフスタイルに調和する北欧スタイル。デンマークの自然を思わせるシンプルモダンなデザインが魅力です。,ダニッシュデザイン,,,,youme
9,,DUFA ,DF-9001-SETA-01,DF-7001-SETA-01,"¥40,000","¥40,000",https://www.neuve-a.net/TiCTAC/shop/g/g4550012151260/,https://www.neuve-a.net/TiCTAC/shop/g/g4550012151277/,クロックの製造で有名なドイツの老舗ブランド。ミニマルで美しいジャーマンデザイン、シックなグレーダイヤルに、ボルドーと濃緑のベルトが付いたTiCTAC別注モデル。,ドゥッファ,,,,youme
10,,SKAGEN , SKW6489,SKW2745  ,"¥19,000","¥21,000",https://www.neuve-a.net/TiCTAC/shop/g/g4549097844211/,https://www.neuve-a.net/TiCTAC/shop/g/g4549097848769/,"北欧デンマークの美しく機能的な腕時計、スカーゲン。クラシックなデンマークデザイン
にインスパイアされたスタイル。薄型ケースと滑らかなレザーストラップで、軽く着け心地も抜群です。
",スカーゲン,,,,youme
11,,SKAGEN ,SKW9012,SKW9013,"¥19,000","¥19,000",https://www.neuve-a.net/TiCTAC/shop/g/g4549097359746/,https://www.neuve-a.net/TiCTAC/shop/g/g4549097359760/,毎日ずっと使っても飽きの来ないシンプルな北欧スタイル。いつまでも二人一緒に、そんな気持ちで選びたい腕時計。グレイッシュなネイビーのスムースレザーにピンクゴールドを合わせた大人な配色はTiCTACの別注カラーです。,スカーゲン,,,,youme
12,img,,,,,,,,,,,,,youme
13,,TRIWA ,NEST122-CL010217,NKST104-SS010217 ,"¥37,000","¥32,000",,,スウェーデン・ストックホルムから発信される現代的な北欧デザイン。遊び心を持った気取らないスタイル、色づかいや素材選びへのこだわりが高い評価を得ています。,トリワ,,,,youme
14,,LLARSEN,LL143GFBLL,LL144GFBLL,"¥30,000","¥29,000",https://www.neuve-a.net/TiCTAC/shop/g/g4970347024693/,https://www.neuve-a.net/TiCTAC/shop/g/g4970347024709/,デザインから製造までMADE IN DENMARK にこだわるエルラーセン。デンマークの豊かな森を思わせる深い緑の美しいダイヤルがポイント。TiCTAC型留モデル。,エルラーセン,,,,youme
15,,LLARSEN,LL143SGCLNA ,LL144SGCLNA ,"¥29,000","¥28,000",,,"流行に左右されず飽きの来ないオーセンティックなスタイルが魅力のエルラーセン。グレーダイヤルにローズゴールドの針とインデックスがシックなTiCTAC別注モデル。
※実際にはダイヤルに分単位の目盛が追加されます。
",エルラーセン,,,,youme
16,,ICE-WATCH ,016444,016446,"¥9,000","¥9,000",https://www.neuve-a.net/TiCTAC/shop/g/g4895164088034/,https://www.neuve-a.net/TiCTAC/shop/g/g4895164088058/,ベルギーの人気ブランド、アイスウォッチから、アースカラーの超軽量モデルが日本先行で登場。壮大な自然をイメージしたカラーリングをカジュアルに楽しみたい。,アイスウォッチ,,,,youme
17,,G-SHOCK & BABY-G,LOV-18A-7AJR ,,"¥33,000",,https://www.neuve-a.net/TiCTAC/shop/g/g4549526207808/,,クリスマス恒例の限定ペアセット「LOVER’S COLLECTION」。今年は「love is tough」がテーマ。ギリシャ神話のキューピッドの羽とプシュケの蝶をモチーフに取り入れたスペシャルモデルです。(G-SHOCK  20気圧防水、BABY-G  10気圧防水),ジーショック&ベビージー,,,,youme
18,img,,,,,,,,,,,,,youme
19,img,,,,,,,,,,,,,youme
20,,G-SHOCK & BABY-G,GST-W310BDD-1AJF ,MSG-W200BDD-1AJF ,"¥52,000","¥35,000",https://www.neuve-a.net/TiCTAC/shop/g/g4549526208577/,https://www.neuve-a.net/TiCTAC/shop/g/g4549526209543/,メタル素材を使用した高級感あるデザインが魅力、G-STEEL&G-MSのペアモデル。”永遠の絆”を象徴するダイヤモンドを配し、恋人達の固い絆を表現しています。(ソーラー電波、G-SHOCK  20気圧防水、BABY-G  10気圧防水),ジーショック&ベビージー,,,,youme
21,,TISSOT,T1175091604200, T1175093603200,"¥43,000","¥54,000",,https://www.neuve-a.net/TiCTAC/shop/g/g7611608282854/,160年の歴史を持ち世界中の人々を魅了してきたスイスブランド、ティソ。100年以上前に誕生した、通称「バナナ・ウォッチ」は、美しくエレガントな曲線が描き出す、斬新なスタイルが魅力です。,ティソ,,,,youme
22,,KLASSE14 , IM18BK007M,IM18RG007W　,"¥27,000","¥27,000",https://www.neuve-a.net/TiCTAC/shop/g/g4897068613473/,https://www.neuve-a.net/TiCTAC/shop/g/g4897068613510/,独特の存在感を放つ一捻りされたシンプルデザイン。半分スケルトンのこのモデルにはシリコンとレザー、2種類のベルトが付属。季節に合わせて自分で簡単に付け替えできます。,クラスフォーティーン,,,,youme
23,,KLASSE14,VO17RG011M ,VO17RG011W ,"¥29,000","¥29,000",https://www.neuve-a.net/TiCTAC/shop/g/g4897068613213/,https://www.neuve-a.net/TiCTAC/shop/g/g4897068613244/,洗練された美しいスタイル、立体的なフォルムが絶大な人気。ネイビーとローズゴールドの美しい配色、レザーとメッシュ２種類のストラップが付属するTiCTAC別注モデル。,クラスフォーティーン,,,,youme
24,img,,,,,,,,,,,,,youme
25,,KLASSE14,VO18VG004M,VO18VG004W,"¥29,000","¥29,000",https://www.neuve-a.net/TiCTAC/shop/g/g4897068615200/,https://www.neuve-a.net/TiCTAC/shop/g/g4897068615217/,“Ordinarily unique.”　独特の存在感が魅力のクラスフォーティーンから、新たなTiCTAC別注モデルが登場。シックな新色・ヴィンテージゴールドケースに、ブラックレザーとメッシュベルト、2種類のレザーストラップが付属します。,クラスフォーティーン,,,,youme
26,img,,,,,,,,,,,,,youme
27,,MARGARET HOWELL idea,BV5-114-12,BV5-017-12,"¥33,000","¥33,000",https://www.neuve-a.net/TiCTAC/shop/g/g4974375485464/,https://www.neuve-a.net/TiCTAC/shop/g/g4974375485471/,"日付と曜日が一目でわかるシンプルデザインに、高い質感のコードバンレザーを合わせた限定モデル。上品で洗練されたミニマルスタイルは様々なシーンで活躍してくれます。
",マーガレット・ハウエル　アイデア,,,,youme
28,,agnès b.,FCRT708,FCST708,"¥27,000","¥27,000",https://www.neuve-a.net/TiCTAC/shop/g/g4976660074780/,https://www.neuve-a.net/TiCTAC/shop/g/g4976660074803/,飽きのこないシンプルなフォルム、ロングセラーのSAM（サム）シリーズをモダンにアップデートした人気のデザイン。ゴールドケースがエレガントなTiCTAC別注モデル。(10気圧防水),アニエスベー,,,,youme
29,,agnès b.,FCRT707,FCST707,"¥27,000","¥27,000",https://www.neuve-a.net/TiCTAC/shop/g/g4976660074773/,https://www.neuve-a.net/TiCTAC/shop/g/g4976660074797/,流行にとらわれないベーシックなデザインが永く愛されているフレンチブランド、アニエスベー。ネイビー×ローズゴールドの大人な配色はTiCTAC別注カラー。スタイリングにエレガントなアクセントを加えてくれます。(10気圧防水),アニエスベー,,,,youme
30,img,,,,,,,,,,,,,youme
31,img,,,,,,,,,,,,,youme
32,,agnès b.,FBRD711,FBSD711,"¥35,000","¥28,000",https://www.neuve-a.net/TiCTAC/shop/g/g4976660074810/,https://www.neuve-a.net/TiCTAC/shop/g/g4976660074834/,コーディネートすることの楽しさを大切にするフレンチブランド、アニエスベー。合わせやすいモノトーン、オールブラックがシックなTiCTAC別注モデル。(ソーラー、メンズ: 10気圧防水),アニエスベー,,,,youme
33,,agnès b.,FBRD941,FBSD941,"¥35,000","¥28,000",https://www.neuve-a.net/TiCTAC/shop/g/g4976660074650/,https://www.neuve-a.net/TiCTAC/shop/g/g4976660074612/,手書きのローマ数字がインデックスになったソーラーモデル。ブラックフェイスにシャンパンゴールドのケース、クラス感のあるカラーリングは大人スタイルの二人に。(ソーラー、メンズ: 10気圧防水),アニエスベー,,,,youme
34,,OROBIANCO ,OR0011-TC2,OR0059-TC2,"¥41,000","¥41,000",,,イタリアのブランドらしい、エレガントで高級感溢れるデザイン、文字盤から機械の駆動が見えるオープンハートスタイルのペアモデル。シックなグリーンダイヤルはTiCTAC別注カラーです。 (機械式自動巻),オロビアンコ,,,,youme
35,,Riki,AKPK709,AKQK714,"¥12,000","¥12,000",,,日本モダンデザインのパイオニア、海外でも評価の高い渡辺力さん(1911-2013)のスピリットを受け継いだSEIKOの腕時計。TiCTACが別注したシックな色づかいも魅力です。,リキ,,,,youme
36,,WIRED ,AGAD732,AGED719,"¥24,000","¥22,000",,,SEIKO製のしっかりした品質、見やすく機能的なデザインが特長。ローズゴールドとネイビーのシックなカラーを別注しました。 (ソーラー、メンズ：10気圧防水),ワイアード,,,,youme
37,, HENRY LONDON,HL39-LS-0388,HL34-LS-0390,"¥26,000","¥26,000",https://www.neuve-a.net/TiCTAC/shop/g/g4550012162495/,https://www.neuve-a.net/TiCTAC/shop/g/g4550012162501/,古典的なラグジュアリーウォッチの技巧を採り入れたクラシカルなデザインが魅力の英国ブランド。月齢がわかるムーンフェイズ表示付きのTiCTAC別注ペアモデル。,ヘンリーロンドン,,,,youme
38,img,,,,,,,,,,,,,youme
39,,ISSEY MIYAKE,NYAJ006,NYAJ005,"¥32,000","¥32,000",https://www.neuve-a.net/TiCTAC/shop/g/g4976660074698/,https://www.neuve-a.net/TiCTAC/shop/g/g4976660074681/,プロダクトデザイナー岩崎一郎氏による「f」シリーズ。「AM faceとPM face」、午前と午後、1日を表す2つのfaceをダイヤルのカラーとインデックスで表現しています。,イッセイミヤケ,,,,youme
40,,Paul Smith,BT2-912-70,BT4-061-30,"¥35,000","¥37,000",https://www.neuve-a.net/TiCTAC/shop/g/g4974375486874/,https://www.neuve-a.net/TiCTAC/shop/g/g4974375487888/,古いダイヤル式電話が着想源のユニークなデザイン、色づかいが魅力の最新モデル。裏蓋にはポール・スミスによるポップな電話の手書きイラストが刻印されています。,ポール・スミス,,,,youme
41,,Paul Smith,BH2-014-10,BZ1-919-10,"¥35,000","¥33,000",https://www.neuve-a.net/TiCTAC/shop/g/g4974375478657/,https://www.neuve-a.net/TiCTAC/shop/g/g4974375478718/,ロンドンのチャーチ・ストリートで見つけたカメラからインスピレーションを得たヴィンテージスタイルのペアモデル。シンプルなデザインに、針色にポール・スミスらしいアクセントを加えています。,ポール・スミス,,,,youme
42,img,,,,,,,,,,,,,youme
43,,BERING,14240-166,14236-166,"¥24,000","¥24,000",,,「北極」の地からインスピレーションを受け、ミニマルなスタイルを発信するベーリング。レザーとメッシュ２種類のストラップが付属、付け替えを楽しめます。,ベーリング,,,,youme
44,img,,,,,,,,,,,,,youme
45,,HAMILTON,H24301731 ,H24101731,"¥101,000","¥98,000",,https://www.neuve-a.net/TiCTAC/shop/g/g4560204344356/,1957年、世界初のエレクトリックウォッチ（電池式時計）として登場、エルヴィス・プレスリーに愛された名作「ベンチュラ」。圧倒的な存在感のデザインは個性的な二人に。,ハミルトン,,,,youme
46,img,,,,,,,,,,,,,youme
47,img,,,,,,,,,,,,,youme
48,img,,,,,,,,,,,,,youme